页面编号,一级模块,二级模块,三级模块,四级模块/页面名称,适用端,优先级,功能描述,关键字段信息
P-001,平台门户首页,门户首页,,平台介绍页,通用,高,展示平台基本信息、功能介绍、运营情况展示、和新闻动态、政策法规动态信息等,
P-002,大屏展示页,监控大屏,,大屏展示页,政府端,暂不实现,基于综合概览的主要信息，结合大屏参考界面设计,
P-003,"用户认证登录
（政府端/企业端共用）",认证登陆,登陆鉴权,用户登录页,通用,高,输入用户名、密码、校验码进行登录验证,
P-004,,,实名认证,认证激活页,通用,高,用户进行实名认证：身份证、手机号、姓名，三证合一,
P-005,,,密码找回,找回密码页,通用,高,忘记密码后可通过企业邮箱、电话、身份证实名认证等方式找回,
P-006,监测平台政府端,综合概览,政府端首页,首页控制台,政府端,高,显示试点城市区域地图、处理活动信息、车端/云端统计信息、地理围栏等,
P-007,,,,处理活动信息统计,政府端,高,分栏显示车端操作日志和云端操作日志，支持时间过滤,
P-008,,备案审核,注册信息管理,注册信息管理页,政府端,高,企业注册信息的审核和管理,企业信息、车辆信息等
P-009,,,,测绘资质审核页,政府端,高,测绘资质信息的审核和管理,
P-010,,,备案审批管理,审批任务管理页面,政府端,高,显示待办任务、已办任务、待阅任务等，进行审批流程操作,
P-011,,风险监测,风险管理,车端安全风险,政府端,高,车端监测和管理安全风险,注册企业、车辆VIN码、车辆品牌、车型、处理阶段（下拉列表）、处理状态（下拉列表已处理、处理中、未处理）、风险等级（下拉列表，高风险、中风险、低风险）、发生时间（可以选择起止时间）；详细描述，包括风险危害程度、风险发生可能性、处置建议等
P-012,,,,云端安全风险,政府端,高,云端监测和管理云端安全风险,企业名称、企业类型、处理阶段（下拉列表，收集、存储、传输、加工、提供、公开、销毁）、风险等级（下拉列表，高风险、中风险、低风险）、处理状态（下拉列表已处理、处理中、未处理）、风险等级（下拉列表）、发生时间（可以选择起止时间）；风险信息的详细描述，包括风险危害程度、风险发生可能性、处置建议等
P-013,,,事件管理,车端事件管理,政府端,高,车端安全事件的监测、记录和管理,注册企业、车辆VIN码、车辆品牌、车型、事件类型、当前状态（已处理、处理中、未处理）、上报时间、处置完成时间；
P-014,,,,云端事件管理,政府端,高,云端安全事件的监测、记录和管理,企业名称、企业类型、事件类型、当前状态（已处理、处理中、未处理）、上报时间、处置完成时间；
P-015,,,应急溯源管理,车端应急溯源,政府端,高,车端安全事件的应急响应和溯源分析,事件源头、传播路径、影响评估、应急措施
P-016,,,,云端应急溯源,政府端,高,云端安全事件的应急响应和溯源分析,事件源头、传播路径、影响评估、应急措施
P-017,,,操作信息管理,车端操作信息,政府端,高,车端操作日志的记录、查询和分析,注册企业、车辆VIN码、车辆品牌、车型、处理阶段（下拉列表）、操作时间
P-018,,,,云端操作信息,政府端,高,云端操作日志的记录、查询和分析,企业名称、企业类型、处理阶段（下拉列表，收集、存储、传输、加工、提供、公开、销毁）、操作时间；
P-019,,内容管理,内容管理,内容列表页,政府端,高,政策和新闻动态文件内容的列表，可以增删改查，分类检索，和编辑详情，发布操作，状态为 未发布/已发布。根据更新时间倒叙排序，可翻页,
P-020,,,,内容编辑页,政府端,高,政策和新闻动态内容的详情编辑，使用富文本编辑器，支持编辑-保存-发布,
P-021,,监督检查,,检查信息管理页,政府端,暂不实现,管理监督检查相关信息,检查计划ID、检查对象、检查时间、检查内容、检查结果
P-022,,,,检查计划制定页,政府端,暂不实现,制定监督检查计划,检查周期、检查范围、检查标准、责任人员、检查清单
P-023,监测平台企业端,综合概览,企业端首页,我的工作台,企业端,高,我的填报、通知信息、所有任务等综合信息展示,填报任务、通知消息、待办事项、企业状态
P-022,,,,风险评估处理,企业端,高,风险评估相关信息填报,评估对象、评估时间、风险等级、风险描述、改进建议
P-023,,注册备案,备案填报,企业基本信息,企业端,高,企业注册信息填报和更新,"企业名称（需与营业执照一致）
统一社会信用代码
注册地址/经营地址
企业类型□ 整车生产企业 □ 平台运营商 □ 智驾方案提供商 □ 地图服务商 □其他________
成立日期
注册资本
法人代表信息（姓名、联系方式、身份证号等）
营业执照扫描件"
P-024,,,,测绘资质信息,企业端,高,管理企业测绘资质相关信息,"资质类别与等级（分甲乙等级，需要做成展示平铺的方式，资质类型可以多选）：互联网地图、导航电子地图制作、地理信息系统工程
资质证书编号
发证机关
资质有效期
资质状态
资质证书扫描件
特殊情况说明"
P-025,,,,数据安全防控措施-制度,企业端,高,时空数据安全管理制度,"组织架构：
数据安全负责部门、数据安全负责人姓名、数据安全负责人职位
数据安全组织架构管理制度（上传附件形式）
数据分类分级管理：
数据分类分级管理制度（上传附件形式）
重要核心数据目录（可选项、若存在则上传，上传附件形式）---增加注释内容“上报内容发生重大变化的，数据处理者应在发生变化的3个月内履行变更手续，重大变化是指数据内容发生变化导致原有级别不再适用的，或某类重要数据规模变化30%以上的等”
制度体系：
收集阶段、存储阶段、加工阶段、提供阶段、公开阶段、销毁阶段、日志管理制度，（上传附件形式-存在一个问题就是数据处理者是否要涵盖这几个阶段的所有的制度，还是说只根据实际开展的业务类型看需要具备哪些管理制度-这样的话需要和前边的进行数据处理活动信息进行关联）
安全风险评估：
安全风险评估机构信息（自评估/第三方评估），包括风险评估机构名称、统一社会信用代码、资质信息（具体要列出类别）
安全风险评估制度（上传附件形式）
安全防线评估报告（可选项、上传附件形式）
监测预警与应急管理：
监测预警机制（上传附件形式）、应急预案及管理制度（上传附件形式）。"
P-026,,,,数据安全防控措施-技术,企业端,高,安全防护技术清单（可以多选）,"车端安全防护技术：收集阶段（属性脱敏、地理围栏）、存储阶段（保密处理、里程限制、属性脱敏）、传输阶段（保密处理、属性脱敏、里程限制、VMS数据融合），每个阶段的技术手段包含其他和特殊情况说明，每个技术最好列出几个行业通用的。
云端安全防护技术：存储阶段（网络和通信安全-需要是三级等保、设备和计算安全、应用和数据安全、三级等保）、加工阶段（属性脱敏、VMS数据融合、访问控制、风险监测、应急溯源、应急处置）、传输阶段（校验技术、密码技术、安全传输通道、安全传输协议）、安全审计方面（安全监测、日志审计、日志完整性），每个阶段的技术手段包含其他和特殊情况说明，每个技术最好列出几个行业通用的。
原来界面中的访问控制策略和数据脱敏规则中的内容可以先保留。"
P-027,,,,数据处理活动信息,企业端,高,车辆产品信息、数据采集区域及路线、数据处理活动方式、数据处理目的 等等,"车辆产品信息（可选项，以车辆品牌为分类依据，支撑增加多个车辆信息，也可以做一个模版，支持一键导入功能）：
车辆品牌、车型、车辆VIN码、自动驾驶系统及系统配置（包括系统名称与版本号，摄像头数量和精度、毫米波雷达数量和精度、激光雷达数量和精度、超声波雷达数量和精度、地图数据应用情况）、应用的地理信息安全处理技术（脱敏技术、坐标偏转技术、VMS数据融合技术、地理信息围栏技术），每个技术要增加对应的说明信息（如采用的是插件还是算法、是自研还是地方机构开发，技术认证情况等）、传感器系统信息（看是否需要按照标准梳理）、投入数量。
数据采集区域及路线（示范区全域、示范区部分区域），若是不分示范区需要以附件形式增加采集区域及线路说明；
数据处理活动方式：自行开展/合作共同开展，若是合作共同开展，合作单位名称、合作单位统一社会信用代码、合作单位资质相关信息（参考上边的相关信息）
数据处理目的：数据脱敏处理、场景库制作及处理、导航电子地图制作、互联网地图服务
是否涉及数据出境、提供、公开，支持多选，若是提供，需要指出提供的对象，提供对象的相关信息（合作单位名称、合作单位统一社会信用代码、合作单位资质相关信息（参考上边的相关信息））"
P-028,,,备案记录,备案更新记录管理页,企业端,高,管理企业提交的备案更新记录，处理备案流程操作,
P-029,,风险管理,风险信息,风险级别统计页,企业端,高,按风险级别统计显示，支持车端/云端切换,风险等级、高中低风险数量、车端云端分类、统计时间段、风险趋势
P-030,,,,风险项统计页,企业端,高,按数据处理阶段统计风险项，支持年度/月度切换,风险项名称、发生频次、影响程度、处理状态、统计周期
P-031,,,,风险趋势分析页,企业端,高,风险变化趋势分析和可视化展示,趋势图表、时间周期、风险变化率、预警阈值、分析报告
P-032,,,风险处置,工单列表页,企业端,高,查看和管理所有风险处置工单,工单编号、风险等级、提交时间、截止时间、处理结果
P-033,,,,工单处理页,企业端,高,风险处置工单管理和处理,工单编号、风险类型、创建时间、处理人员、工单状态
P-034,,通知待办,,通知信息页,企业端,高,显示和最新消息,消息标题、发送时间、消息类型、发送方、阅读状态
P-035,,,,任务管理页,企业端,高,显示待办任务、已办任务、待阅任务等,任务ID、任务类型、创建时间、截止时间、任务状态
,,,,内容编辑页,,,,
P-036,,地方活动申请,,活动申请页,企业端,暂不实现,地方活动申请功能,申请编号、活动名称、申请时间、活动地点、审批状态
P-037,,实时监测,,实时数据流面板,企业端,暂不实现,实时数据流监测面板,数据流量、实时状态、异常警告、监控指标、显示时间
P-038,,培训资源,,在线课程库页,企业端,暂不实现,在线培训课程资源,课程编号、课程名称、课程类型、学习时长、发布时间
P-039,企业管理,用户管理,,角色权限管理页,企业端,中,企业领域内 系统角色和权限的配置管理，组织内子账号的开通管理,角色ID、角色名称、权限范围、创建时间、更新时间
P-040,系统管理,用户管理,,角色权限管理页,政府端,中,系统角色和权限的配置管理,角色ID、角色名称、权限范围、创建时间、更新时间
P-041,,,,组织架构管理页,政府端,中,组织架构的维护和管理，区分 政府端与企业端组织,组织ID、组织从属关系
P-042,,,,用户信息管理页,政府端,中,系统用户信息的增删改查管理,部门ID、部门名称、上级部门、部门负责人、创建时间
P-043,,区域管理,监测区域,区域管理页,政府端,中,根据主管部门更新的测试区域，进行电子信息围栏区域修正，提供预览功能，并同步至实时监控的显示界面（支持坐标输入、框选区域等方式）；,
P-044,,,,版本记录管理页,政府端,中,地理信息围栏版本管理（支持历史围栏对比）；,
P-045,,风险规则管理,风险规则,风险规则库,政府端,高,所有风险检测判定规则库,
P-046,,,,规则引擎编辑,政府端,高,单条风险判定规则的规则引擎可视化编辑,
P-047,,系统配置,,参数配置页,政府端,中,系统参数和配置项管理,参数名称、参数值、参数类型、生效范围、更新时间
P-048,,,,字典管理页,政府端,中,系统数据字典管理,字典类型、字典键、字典值、排序号、状态
P-049,,日志管理,,操作日志页,政府端,中,"系统操作日志查询和管理-整体数据范围, 日志可进行区块链存证。企业端不可查看",
P-050,,,,登录日志页,政府端,中,用户登录日志查询和管理-整体数据范围，日志可进行区块链存证。企业端不可查看,
P-051,,监控运维,,系统监控页,政府端,中,系统运行状态和性能监控,
P-052,,,,数据备份页,政府端,中,系统数据备份和恢复管理,
P-053,,系统安全,,系统安全风险,政府端,中,自身系统安全风险检测扫描结果,
